idn	hero	primary_attribute	strength_base	strength_growth	agility_base	agility_growth	intelligence_base	intelligence_growth	movement_speed	starting_armor	damage_min	damage_max	attack_point	cast_point	turn_rate	day_sight_range	night_sight_range	attack_range	base_attack_time
1	Anti-Mage	Agility	20	1.2	22	2.8	15	1.8	315	2.08	49	53	0.3	0.3	0.5	"1,800"	800	128	1.45
2	Axe	Strength	25	2.5	20	2.2	18	1.6	290	1.8	49	53	0.5	0.3	0.6	"1,800"	800	128	1.7
3	Bane	Intelligence	22	2.1	22	2.1	22	2.1	315	4.08	55	61	0.3	0.5	0.6	"1,800"	800	400	1.7
4	Bloodseeker	Agility	23	2	24	3	18	1.7	300	3.36	53	59	0.43	0.6	0.5	"1,800"	800	128	1.7
5	Crystal Maiden	Intelligence	16	1.7	16	1.6	16	2.9	280	1.24	35	41	0.55	0.3	1	"1,800"	800	600	1.7
6	Drow Ranger	Agility	17	1.9	26	1.9	15	1.4	300	0.64	44	55	0.7	0.4	0.6	"1,800"	800	625	1.7
7	Earthshaker	Strength	22	2.9	12	1.5	16	1.8	310	2.68	46	56	0.467	0.69	0.6	"1,800"	800	128	1.7
8	Juggernaut	Agility	20	1.9	20	2.85	14	1.4	305	3.8	44	48	0.33	0.3	0.6	"1,800"	800	128	1.6
9	Mirana	Agility	17	1.85	20	2.75	17	1.65	300	1.8	38	49	0.3	0.5	0	"1,800"	800	600	1.7
10	Morphling	Agility	19	2	24	3	17	1.5	285	1.36	37	46	0.5	0.25	0.6	"1,800"	800	350	1.6
11	Shadow Fiend	Agility	15	2	20	2.9	18	2	305	1.8	35	41	0.5	0.67	1	"1,800"	800	500	1.7
12	Phantom Lancer	Agility	18	1.7	23	4.2	21	2	290	3.22	45	67	0.5	0.3	0.6	"1,800"	800	128	1.7
13	Puck	Intelligence	15	1.7	22	1.7	25	2.4	295	2.08	47	58	0.5	0.1	0.4	"1,800"	800	550	1.7
14	Pudge	Strength	25	3.2	14	1.5	14	1.5	285	0.96	52	58	0.5	0.3	1	"1,800"	800	128	1.7
15	Razor	Agility	21	1.7	22	2	19	1.8	295	2.08	45	47	0.3	0.5	0.4	"1,800"	800	475	1.7
16	Sand King	Strength	18	2.6	19	2.1	16	1.8	300	2.66	43	59	0.53	0	1	"1,800"	800	128	1.7
17	Storm Spirit	Intelligence	19	1.5	22	1.8	23	2.6	290	5.08	45	55	0.5	0.3	0.6	"1,800"	800	480	1.7
18	Sven	Strength	23	2.7	21	2	14	1.3	295	4.94	54	56	0.4	0.3	0.6	"1,800"	800	128	1.7
19	Tiny	Strength	24	3	9	0.9	14	1.6	285	0.26	61	67	0.49	0.001	0.5	"1,800"	800	128	1.7
20	Vengeful Spirit	Agility	18	2.6	27	2.8	15	1.75	295	3.78	39	53	0.33	0.3	1	"1,800"	800	400	1.7
21	Windranger	Intelligence	15	2.5	17	1.4	22	2.6	295	1.38	44	56	0.4	0.3	0.6	"1,800"	800	600	1.5
22	Zeus	Intelligence	19	2.3	11	1.2	20	2.7	295	1.54	41	49	0.633	0.4	0.6	"1,800"	800	350	1.7
23	Kunkka	Strength	24	3	14	1.3	18	1.5	300	1.96	50	60	0.4	0.4	0.6	"1,800"	800	128	1.7
25	Lina	Intelligence	18	1.5	16	1.5	27	3.2	295	1.24	40	58	0.75	0.45	0.5	"1,800"	800	650	1.7
26	Lion	Intelligence	16	1.7	15	1.5	22	3	290	1.1	42	48	0.43	0.3	0.5	"1,800"	800	600	1.7
27	Shadow Shaman	Intelligence	19	1.6	16	1.6	21	3	285	1.24	47	54	0.3	0.3	0.4	"1,800"	8.00E+02	500	2
28	Slardar	Strength	21	2.8	17	2.4	15	1.5	300	5.38	51	59	0.36	0.35	0.5	"1,800"	800	128	1.7
29	Tidehunter	Strength	22	3	15	1.5	16	1.7	310	3.1	47	53	0.6	0.3	0.4	"1,800"	800	128	1.7
30	Witch Doctor	Intelligence	16	1.8	13	1.4	24	2.9	305	0.82	51	61	0.4	0.35	0.4	"1,800"	800	600	1.7
31	Lich	Intelligence	18	1.55	15	2	18	3.25	315	1.1	42	51	0.46	0.4	1	"1,800"	800	550	1.7
32	Riki	Agility	17	2	34	2.9	14	1.3	300	5.76	48	52	0.3	0.4	1	"1,800"	800	128	1.7
33	Enigma	Intelligence	17	2.1	14	1	20	3.4	300	3.96	42	48	0.4	0.3	1	"1,800"	800	500	1.7
34	Tinker	Intelligence	17	2	13	1.2	27	2.2	305	3.82	49	55	0.35	0.53	0.6	"1,800"	800	500	1.7
35	Sniper	Agility	16	1.7	21	2.9	15	2.6	290	1.94	36	42	0.17	0.3	0.6	"1,800"	"1,000"	550	1.7
